Gene(s)	circID	combo	predictor	geneID	no_parent_regressed	parent_regressed	delta_parent	no_parent_regressed_rank	parent_regressed_rank	Exon1	Exon2	Strand	SpliceType	molecule__cRNA	cis_trans__cRNA	mean_beta__cRNA	max_beta__cRNA	min_beta__cRNA	sd_beta__cRNA	lower_beta__cRNA	middle_beta__cRNA	upper_beta__cRNA	num_SNP_feature__cRNA	num_feature__cRNA	average_SNP_position__cRNA	SNP_chr__cRNA	molecule__mRNA	cis_trans__mRNA	mean_beta__mRNA	max_beta__mRNA	min_beta__mRNA	sd_beta__mRNA	lower_beta__mRNA	middle_beta__mRNA	upper_beta__mRNA	num_SNP_feature__mRNA	num_feature__mRNA	average_SNP_position__mRNA	SNP_chr__mRNA	common_or_uncommon	opposite_QTL_effect	mRNA	cRNA	trait	mRNA_mlog10_pval	cRNA_mlog10_pval	method	is_cRNA_coloc_greater
AARS	chr16:70294947-70296427	chr16:70294947-70296427_IBD_severity_3levels.yInactive_IBD	IBD_severity_3levels.yInactive_IBD	AARS	NA	-0.0159369884911785	NA	NA	9	12	13	-	Exon-Exon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCA13	chr7:48450117-48452180	chr7:48450117-48452180_ImmunePanel_Neutrophils	ImmunePanel_Neutrophils	ABCA13	0.235125571098318	0.212910263592399	0.0222153075059194	1	1	40	41	+	Exon-Exon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Inf	0.04452308	CD	-Inf	1.3514147998464	MetaXCan	yes
ABCA13	chr7:48450117-48452180	chr7:48450117-48452180_ImmunePanel_Neutrophils	ImmunePanel_Neutrophils	ABCA13	0.235125571098318	0.212910263592399	0.0222153075059194	1	1	40	41	+	Exon-Exon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Inf	0.04692232	IBD	-Inf	1.32862052302094	MetaXCan	yes
ABCA13	chr7:48541722-48542148	chr7:48541722-48542148_ImmunePanel_T_cells	ImmunePanel_T_cells	ABCA13	-0.142838830782394	-0.13387678936662	-0.00896204141577331	9	12	6	6	+	Unannotated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Inf	0.04452308	CD	-Inf	1.3514147998464	MetaXCan	yes
ABCA13	chr7:48541722-48542148	chr7:48541722-48542148_ImmunePanel_T_cells	ImmunePanel_T_cells	ABCA13	-0.142838830782394	-0.13387678936662	-0.00896204141577331	9	12	6	6	+	Unannotated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Inf	0.04692232	IBD	-Inf	1.32862052302094	MetaXCan	yes
ABCC4	chr13:95813443-95840796	chr13:95813443-95840796_IBD_severity_3levels.yMild_IBD	IBD_severity_3levels.yMild_IBD	ABCC4	0.0400553370650212	0.0319111171698631	0.00814421989515813	10	13	10	19	-	Exon-Exon	circle	cis	-0.268118143220828	0.381424899664586	-0.750957229116791	0.221254897324717	-0.36122077249392	-0.306230672993676	-0.260310119893416	157	6	95989463	13	linear	cis	-0.311178107000083	0.627993653291971	-1.14971805440361	0.367948207666198	-0.530358642538041	-0.352684263890029	-0.322665705104261	157	1	95987555	13	common	no	NA	NA	NA	NA	NA	NA	NA
ABCC4	chr13:95813443-95840796	chr13:95813443-95840796_IBD_severity_3levels.yMild_IBD	IBD_severity_3levels.yMild_IBD	ABCC4	0.0400553370650212	0.0319111171698631	0.00814421989515813	10	13	10	19	-	Exon-Exon	circle	cis	0.744504004139823	1.49628987869898	-0.357003062925805	0.407956153707217	0.400740246591741	0.864848106303173	1.02570706363854	76	1	95877214.5	13	linear	cis	0.0128491274810476	1.23211681648328	-1.60330827963225	0.48292127906577	-0.339833466142339	0.293286583982899	0.33866883507255	106	1	95923785.5	13	uncommon	no	NA	NA	NA	NA	NA	NA	NA
ABCC4	chr13:95768176-95822882	chr13:95768176-95822882_TcellRedefRatio_CD8_Treg_Ratio	TcellRedefRatio_CD8_Treg_Ratio	ABCC4	NA	-0.0587233139729904	NA	NA	5	14	20	-	Exon-Exon	circle	cis	-0.268118143220828	0.381424899664586	-0.750957229116791	0.221254897324717	-0.36122077249392	-0.306230672993676	-0.260310119893416	157	6	95989463	13	linear	cis	-0.311178107000083	0.627993653291971	-1.14971805440361	0.367948207666198	-0.530358642538041	-0.352684263890029	-0.322665705104261	157	1	95987555	13	common	no	NA	NA	NA	NA	NA	NA	NA
ABCC4	chr13:95768176-95822882	chr13:95768176-95822882_TcellRedefRatio_CD8_Treg_Ratio	TcellRedefRatio_CD8_Treg_Ratio	ABCC4	NA	-0.0587233139729904	NA	NA	5	14	20	-	Exon-Exon	circle	cis	0.744504004139823	1.49628987869898	-0.357003062925805	0.407956153707217	0.400740246591741	0.864848106303173	1.02570706363854	76	1	95877214.5	13	linear	cis	0.0128491274810476	1.23211681648328	-1.60330827963225	0.48292127906577	-0.339833466142339	0.293286583982899	0.33866883507255	106	1	95923785.5	13	uncommon	no	NA	NA	NA	NA	NA	NA	NA
ABCC4	chr13:95813443-95822882	chr13:95813443-95822882_TcellRedef_Th2_CCR4pos	TcellRedef_Th2_CCR4pos	ABCC4	-0.0310808940380629	NA	NA	7	NA	14	19	-	Exon-Exon	circle	cis	-0.268118143220828	0.381424899664586	-0.750957229116791	0.221254897324717	-0.36122077249392	-0.306230672993676	-0.260310119893416	157	6	95989463	13	linear	cis	-0.311178107000083	0.627993653291971	-1.14971805440361	0.367948207666198	-0.530358642538041	-0.352684263890029	-0.322665705104261	157	1	95987555	13	common	no	NA	NA	NA	NA	NA	NA	NA
ABCC4	chr13:95813443-95822882	chr13:95813443-95822882_TcellRedef_Th2_CCR4pos	TcellRedef_Th2_CCR4pos	ABCC4	-0.0310808940380629	NA	NA	7	NA	14	19	-	Exon-Exon	circle	cis	0.744504004139823	1.49628987869898	-0.357003062925805	0.407956153707217	0.400740246591741	0.864848106303173	1.02570706363854	76	1	95877214.5	13	linear	cis	0.0128491274810476	1.23211681648328	-1.60330827963225	0.48292127906577	-0.339833466142339	0.293286583982899	0.33866883507255	106	1	95923785.5	13	uncommon	no	NA	NA	NA	NA	NA	NA	NA
ABCC4	chr13:95686859-95715113	chr13:95686859-95715113_TcellRedef_CD4RApos_CD8	TcellRedef_CD4RApos_CD8	ABCC4	0.100845664127489	0.0845071731832539	0.0163384909442352	1	4	26	30	-	Exon-Exon	circle	cis	-0.268118143220828	0.381424899664586	-0.750957229116791	0.221254897324717	-0.36122077249392	-0.306230672993676	-0.260310119893416	157	6	95989463	13	linear	cis	-0.311178107000083	0.627993653291971	-1.14971805440361	0.367948207666198	-0.530358642538041	-0.352684263890029	-0.322665705104261	157	1	95987555	13	common	no	NA	NA	NA	NA	NA	NA	NA
ABCC4	chr13:95686859-95715113	chr13:95686859-95715113_TcellRedef_CD4RApos_CD8	TcellRedef_CD4RApos_CD8	ABCC4	0.100845664127489	0.0845071731832539	0.0163384909442352	1	4	26	30	-	Exon-Exon	circle	cis	0.744504004139823	1.49628987869898	-0.357003062925805	0.407956153707217	0.400740246591741	0.864848106303173	1.02570706363854	76	1	95877214.5	13	linear	cis	0.0128491274810476	1.23211681648328	-1.60330827963225	0.48292127906577	-0.339833466142339	0.293286583982899	0.33866883507255	106	1	95923785.5	13	uncommon	no	NA	NA	NA	NA	NA	NA	NA
