circID	Gene(s)	combo	predictor	geneID	no_parent_regressed	parent_regressed	delta_parent	no_parent_regressed_rank	parent_regressed_rank	Exon1	Exon2	Strand	SpliceType	molecule__cRNA	cis_trans__cRNA	mean_beta__cRNA	max_beta__cRNA	min_beta__cRNA	sd_beta__cRNA	lower_beta__cRNA	middle_beta__cRNA	upper_beta__cRNA	num_SNP_feature__cRNA	num_feature__cRNA	average_SNP_position__cRNA	SNP_chr__cRNA	molecule__mRNA	cis_trans__mRNA	mean_beta__mRNA	max_beta__mRNA	min_beta__mRNA	sd_beta__mRNA	lower_beta__mRNA	middle_beta__mRNA	upper_beta__mRNA	num_SNP_feature__mRNA	num_feature__mRNA	average_SNP_position__mRNA	SNP_chr__mRNA	common_or_uncommon	opposite_QTL_effect	mRNA	cRNA	trait	mRNA_mlog10_pval	cRNA_mlog10_pval	method	is_cRNA_coloc_greater	logFC_CD_vs_Control	AveExpr_log2cpm	padj_CD_vs_Control	logFC_UC_vs_Control	padj_UC_vs_Control	logFC_vdjnorm	padj_vdjnorm	mean_circ_fraction	sd_circ_fraction	median_circ_fraction	mad_circ_fraction	gene	AveExpr_log2cpm_Biopsy	mean_circ_fraction_Biopsy	best_binding_miRNA	miRNA_bind_sites_per_kB_circRNA	miRNA	circbase_ID	genomic_length	spliced_seq_length	in_other_samples	repeats	annotation	circRNA_study
chr1:100889778-100908552	CDC14A	chr1:100889778-100908552_TcellRedefRatio_CD4_CD8_Ratio	TcellRedefRatio_CD4_CD8_Ratio	CDC14A	-0.0605476703333704	-0.0557575860677341	-0.00479008426563628	5	5	1	7	+	Exon-Exon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0816723809700752	-1.85379463562996	0.840921374663211	-0.165370367801265	0.487663579871267	-0.130898177834879	0.194445356642851	2.57101501004324	2.73794899036779	2	2.61379225531915	CDC14A	NA	NA	miR_302d_3p	23.696682464455	hsa-miR-302d-3p	hsa_circ_0000097	18775	210	neutr,_K562,_Ag04450	None	ANNOTATED,_CDS,_coding,_INTERNAL	Memczak2013,_Salzman2013
chr1:104108057-104118162	AMY2B	chr1:104108057-104118162_ImmunePanel_NLR	ImmunePanel_NLR	AMY2B	-0.162883144806312	-0.154809144674155	-0.00807400013215748	1	2	1	9	+	Exon-Exon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.271595918174468	-1.86836064300645	0.313838491920888	-0.360807193184719	0.115956249999872	0.289934524114991	0.00558854829766918	3.61743837251986	3.13423709339506	3	2.9652	AMY2B	-0.91267646105056	1.29490721170925	miR_3156_3p	7.61614623000762	hsa-miR-3156-3p	hsa_circ_0000099	10106	1307	cd_19,_Nhek,_Gm12878	DNA	ANNOTATED,_CDS,_coding,_INTERNAL,_UTR5	Memczak2013,_Salzman2013
chr1:111434014-111435155	CD53	chr1:111434014-111435155_ImmCellRatio_Myeloid_Lymphoid_Ratio	ImmCellRatio_Myeloid_Lymphoid_Ratio	CD53	-0.0998505745377056	-0.0992542909036397	-0.0005962836340659	2	2	2	3	+	Exon-Exon	circle	cis	0.324609136572439	0.327066513089694	0.323372143014169	0.00212816669663571	0.323380448313812	0.323388753613454	0.325227633351574	3	1	111441001	1	linear	cis	-0.28249912837712	-0.281897057911209	-0.283101198843031	0.000851456218395605	-0.282800163610075	-0.28249912837712	-0.282198093144164	2	1	111335339.5	1	uncommon	yes	NA	NA	NA	NA	NA	NA	NA	-0.203622733803345	-1.23080348919728	0.379357304264057	-0.21033327124601	0.35868775068165	0.139434674770254	0.170868939949665	2.97434561380501	2.89369060046088	2	2.93582129032258	CD53	NA	NA	miR_3620_5p	26.0223048327138	hsa-miR-3620-5p	hsa_circ_0000105	1142	269	cd_19,_K562,_Gm12878	None	ANNOTATED,_CDS,_coding,_INTERNAL,_UTR5	Memczak2013,_Salzman2013
chr1:111434014-111435155	CD53	chr1:111434014-111435155_ImmCellRatio_Myeloid_Lymphoid_Ratio	ImmCellRatio_Myeloid_Lymphoid_Ratio	CD53	-0.0998505745377056	-0.0992542909036397	-0.0005962836340659	2	2	2	3	+	Exon-Exon	circle	cis	0.279724024881008	0.281809770318899	0.276453053750829	0.00138367539186523	0.278565998497021	0.279867948284031	0.280784324706435	23	1	111434351	1	linear	cis	0.274918042027272	0.287147748111859	0.273171485257336	0.00273441587242068	0.27411613953544	0.274285525959648	0.274751588840172	23	1	111434351	1	common	no	NA	NA	NA	NA	NA	NA	NA	-0.203622733803345	-1.23080348919728	0.379357304264057	-0.21033327124601	0.35868775068165	0.139434674770254	0.170868939949665	2.97434561380501	2.89369060046088	2	2.93582129032258	CD53	NA	NA	miR_3620_5p	26.0223048327138	hsa-miR-3620-5p	hsa_circ_0000105	1142	269	cd_19,_K562,_Gm12878	None	ANNOTATED,_CDS,_coding,_INTERNAL,_UTR5	Memczak2013,_Salzman2013
chr1:111690264-111703918	CEPT1	chr1:111690264-111703918_TcellRedef_Memory_CD8	TcellRedef_Memory_CD8	CEPT1	0.0546736512055126	0.0590946673260337	-0.00442101612052113	1	1	2	4	+	Exon-Exon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.176431309	0.022897096	IBD	0.753424343697447	1.64021959500288	COLOC	yes	-0.0178449784201371	-1.62253879163102	0.973895626883051	-0.0243483230703485	0.971173869956928	-0.0677568623121003	0.581977755938702	3.22833054149816	2.7745343992658	3	2.9652	CEPT1	NA	NA	miR_1183	11.3798008534851	hsa-miR-1183	hsa_circ_0000106	13655	702	cd_19,_K562,_Hepg2,_Helas3,_Gm12878,_Bj,_Ag04450	None	ANNOTATED,_CDS,_coding,_INTERNAL,_UTR5	Memczak2013,_Salzman2013
chr1:111690264-111703918	CEPT1	chr1:111690264-111703918_TcellRedef_Memory_CD8	TcellRedef_Memory_CD8	CEPT1	0.0546736512055126	0.0590946673260337	-0.00442101612052113	1	1	2	4	+	Exon-Exon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.821138645	0.022195654	CD	0.0855835083192299	1.65373205386427	COLOC	yes	-0.0178449784201371	-1.62253879163102	0.973895626883051	-0.0243483230703485	0.971173869956928	-0.0677568623121003	0.581977755938702	3.22833054149816	2.7745343992658	3	2.9652	CEPT1	NA	NA	miR_1183	11.3798008534851	hsa-miR-1183	hsa_circ_0000106	13655	702	cd_19,_K562,_Hepg2,_Helas3,_Gm12878,_Bj,_Ag04450	None	ANNOTATED,_CDS,_coding,_INTERNAL,_UTR5	Memczak2013,_Salzman2013
chr1:113196220-113202401	CAPZA1	chr1:113196220-113202401_IBD_severity_3levels.yInactive_IBD	IBD_severity_3levels.yInactive_IBD	CAPZA1	-0.0550888335000224	-0.0512535657654869	-0.00383526773453555	16	18	4	1	+	Exon-Exon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0180096492930666	-0.627028068136896	0.970334660086204	-0.00571354233151067	0.993050987127541	-0.0137230635415506	0.912796193093148	1.57112436678838	2.60737897812684	0.0808350985531182	0.0784278572977662	CAPZA1	-1.22661970657297	1.20608045185852	miR_3620_5p	13.8888888888889	hsa-miR-3620-5p	hsa_circ_0000109	6182	430	cd_19,_Hs68_RNase,_Hs68_control,_Nhek,_K562,_Huvec,_Hepg2,_Helas3,_H1hesc,_Gm12878,_Bj,_Ag04450,_A549,_Sknshra,_Mcf7	None	ANNOTATED,_CDS,_coding,_INTERNAL,_OVCODE,_OVEXON	Jeck2013,_Memczak2013,_Salzman2013
chr1:114372214-114377061	PTPN22	chr1:114372214-114377061_ImmunePanel_Neutrophils	ImmunePanel_Neutrophils	PTPN22	0.0893434177268499	0.118425425437798	-0.0290820077109486	6	5	15	18	-	Exon-Exon	circle	cis	0.0372845064275645	0.339979317697758	-0.265410304842629	0.428075107358272	-0.114062899207532	0.0372845064275645	0.188631912062661	2	1	114256733.5	1	linear	cis	0.0242646168090385	0.559701766928104	-0.358960786324729	0.312591075183621	-0.337423250465988	0.247486481093505	0.281266528944657	52	1	114293496	1	uncommon	no	0.1459592	0.01075938	IBD	0.835768525661854	1.96821275379385	COLOC	yes	0.0214263522871883	-0.211555068690546	0.968493905239869	-0.0580842457264503	0.884857932152967	-0.0721590641662221	0.483046167381758	1.8557263184552	2.61656988394363	0.528856825749168	0.3278985144711	PTPN22	NA	NA	miR_6780a_3p	13.9664804469274	hsa-miR-6780a-3p	hsa_circ_0000110	4848	356	neutr,_K562,_Gm12878	None	ANNOTATED,_CDS,_coding,_INTERNAL	Memczak2013,_Salzman2013
chr1:114372214-114377061	PTPN22	chr1:114372214-114377061_ImmunePanel_Neutrophils	ImmunePanel_Neutrophils	PTPN22	0.0893434177268499	0.118425425437798	-0.0290820077109486	6	5	15	18	-	Exon-Exon	circle	cis	0.245189701436645	0.3743550215383	-0.33247316003575	0.208024633765643	0.270908854113871	0.341550503111293	0.352849047749108	187	2	114369468	1	linear	cis	0.320882960796783	0.516476557516197	-0.447194339085895	0.282645213440462	0.378825029020212	0.447189295881004	0.455929390412862	187	1	114354942	1	common	no	0.0002362212	0.1232302766	CD	3.62668112861135	0.909282576709854	MetaXCan	no	0.0214263522871883	-0.211555068690546	0.968493905239869	-0.0580842457264503	0.884857932152967	-0.0721590641662221	0.483046167381758	1.8557263184552	2.61656988394363	0.528856825749168	0.3278985144711	PTPN22	NA	NA	miR_6780a_3p	13.9664804469274	hsa-miR-6780a-3p	hsa_circ_0000110	4848	356	neutr,_K562,_Gm12878	None	ANNOTATED,_CDS,_coding,_INTERNAL	Memczak2013,_Salzman2013
chr1:114372214-114377061	PTPN22	chr1:114372214-114377061_ImmunePanel_Neutrophils	ImmunePanel_Neutrophils	PTPN22	0.0893434177268499	0.118425425437798	-0.0290820077109486	6	5	15	18	-	Exon-Exon	circle	cis	0.0372845064275645	0.339979317697758	-0.265410304842629	0.428075107358272	-0.114062899207532	0.0372845064275645	0.188631912062661	2	1	114256733.5	1	linear	cis	0.0242646168090385	0.559701766928104	-0.358960786324729	0.312591075183621	-0.337423250465988	0.247486481093505	0.281266528944657	52	1	114293496	1	uncommon	no	0.0423832774	0.4870875905	IBD	1.37280546334724	0.31239293478057	MetaXCan	no	0.0214263522871883	-0.211555068690546	0.968493905239869	-0.0580842457264503	0.884857932152967	-0.0721590641662221	0.483046167381758	1.8557263184552	2.61656988394363	0.528856825749168	0.3278985144711	PTPN22	NA	NA	miR_6780a_3p	13.9664804469274	hsa-miR-6780a-3p	hsa_circ_0000110	4848	356	neutr,_K562,_Gm12878	None	ANNOTATED,_CDS,_coding,_INTERNAL	Memczak2013,_Salzman2013
